flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
7109.9087,9.26384,0.003799702,730718,1306.9071784334446,1439.060989085901,6624.4233,7.7152424,1018.838,2.4021556,7109.9087,9.26384,0,,,,,1306.9071784334446,0.0008182544,1439.060989085901,0.00083138444,-0.016935151,-0.012634544
7140.8696,9.275029,0.0037997325,730719,1306.9061587937713,1439.0599893233857,6649.0713,7.7245607,1018.0943,2.4022305,7140.8696,9.275029,0,,,,,1306.9061587937713,0.0008165073,1439.0599893233857,0.0008286728,-0.018010922,-0.013368247
7109.4585,9.269524,0.003799763,730720,1306.906723776612,1439.060160151544,6625.5073,7.7199764,1020.5242,2.4046764,7109.4585,9.269524,0,,,,,1306.906723776612,0.00081885094,1439.060160151544,0.0008331419,-0.01707327,-0.01480459
7131.942,9.266762,0.0037997933,730721,1306.9065786595927,1439.0591738959106,6642.8584,7.7176757,1011.2391,2.3966587,7131.942,9.266762,0,,,,,1306.9065786595927,0.00081620744,1439.0591738959106,0.00083005143,-0.017049838,-0.0136590935
7118.021,9.269379,0.0037998238,730722,1306.9073412102794,1439.0583751284419,6632.287,7.7198563,1017.5792,2.4036336,7118.021,9.269379,0,,,,,1306.9073412102794,0.00081891596,1439.0583751284419,0.00083111675,-0.015808295,-0.013640085
7132.998,9.273721,0.0037998543,730723,1306.9057872656679,1439.0611068147514,6642.6963,7.723472,1021.9019,2.4040046,7132.998,9.273721,0,,,,,1306.9057872656679,0.0008169036,1439.0611068147514,0.00082961185,-0.017338796,-0.011447757
7133.0674,9.274581,0.0037998846,730724,1306.9054055541928,1439.05865068185,6643.385,7.724188,1018.1751,2.4019387,7133.0674,9.274581,0,,,,,1306.9054055541928,0.00081676093,1439.05865068185,0.00083096605,-0.019069457,-0.016096063
7113.0234,9.270174,0.003799915,730725,1306.90569253346,1439.0601443984942,6626.099,7.720518,1023.2094,2.404269,7113.0234,9.270174,0,,,,,1306.90569253346,0.00081955094,1439.0601443984942,0.00083237665,-0.0179359,-0.0136394715
7117.341,9.260745,0.0037999453,730726,1306.9071359325267,1439.059664441981,6629.7397,7.712665,1016.665,2.3992453,7117.341,9.260745,0,,,,,1306.9071359325267,0.00081797777,1439.059664441981,0.00083023345,-0.015770786,-0.01408669
7116.46,9.265188,0.0037999756,730727,1306.9051320611654,1439.0612450474302,6630.0654,7.716366,1019.01044,2.4005463,7116.46,9.265188,0,,,,,1306.9051320611654,0.0008186194,1439.0612450474302,0.00083086395,-0.01942205,-0.01385168
7117.3555,9.267348,0.0038000061,730728,1306.907152674042,1439.0577792448387,6631.679,7.7181644,1016.6135,2.3997893,7117.3555,9.267348,0,,,,,1306.907152674042,0.000817666,1439.0577792448387,0.0008321122,-0.016970994,-0.016593322
7114.9087,9.264635,0.0038000364,730729,1306.9077522485288,1439.060238641344,6628.285,7.7159047,1018.42676,2.4039764,7114.9087,9.264635,0,,,,,1306.9077522485288,0.0008192906,1439.060238641344,0.0008309172,-0.0147581985,-0.012707172
7126.6934,9.269121,0.0038000667,730730,1306.9030398422738,1439.0624165491581,6637.172,7.719641,1018.0954,2.4002006,7126.6934,9.269121,0,,,,,1306.9030398422738,0.0008176294,1439.0624165491581,0.00082973554,-0.019982306,-0.012728888
7111.7446,9.261101,0.0038000972,730731,1306.9077031616623,1439.0620784411346,6624.411,7.712961,1016.462,2.399664,7111.7446,9.261101,0,,,,,1306.9077031616623,0.0008190077,1439.0620784411346,0.00083141436,-0.013747113,-0.011485071
7111.988,9.273208,0.0038001274,730732,1306.9066486806905,1439.0592283964393,6627.8403,7.7230444,1018.63055,2.4039211,7111.988,9.273208,0,,,,,1306.9066486806905,0.00081928866,1439.0592283964393,0.00083340605,-0.016981198,-0.014005321
